Número de Tamiz,Apertura
N° 3,6.70 mm
N° 4,4.75 mm
N° 5,4.00 mm
N° 6,3.35 mm
N° 7,2.80 mm
N° 8,2.36 mm
N° 10,2.00 mm
N° 12,1.70 mm
N° 14,1.40 mm
N° 16,1.18 mm
N° 18,1.00 mm
N° 20,0.85 mm
N° 25,0.71 mm
N° 30,0.60 mm
N° 35,0.50 mm
N° 40,0.42 mm
N° 45,0.36 mm
N° 50,0.30 mm
N° 60,0.25 mm
N° 70,0.21 mm
N° 80,0.18 mm
N° 100,0.15 mm
N° 120,0.13 mm
N° 140,0.11 mm
N° 170,0.09 mm
N° 200,0.075 mm
N° 230,0.063 mm
N° 270,0.053 mm
N° 325,0.045 mm
